"FindingId","Category","Severity","RiskScore","Confidence","ObjectType","ObjectId","DisplayName","UserPrincipalName","Evidence","EvidenceSource","GraphEndpoint","RecommendedAction","RemediationMode","ConsultantNote","ProtectedObject","DetectedUtc"
"DEC-CA-003","Conditional Access","High","68","Low","Group","171b0f85-04f6-4946-97f3-5a7e6bc1987f","Exclude from CA","","CA policy exclusion group 'Exclude from CA' has no correlated access review definition — members excluded without review governance.","identityGovernance/accessReviews/definitions","/v1.0/identityGovernance/accessReviews/definitions","Create access review definition scoped to 'Exclude from CA' group to govern CA exclusion membership.","InformationOnly","CA exclusion group without review governance — attack surface is ungoverned","False","2026-06-01T01:39:34.4897665Z"
"DEC-APP-005","Application","High","68","High","Application","ce472608-cabf-468c-a816-c214e17cbb17","PowerShelltoTeamsGraphAPI","","Client secret 'albert demo secret' expired 1271 days ago (2022-12-07) — still attached to application","applications/{id}/passwordCredentials","/v1.0/applications/{id}?$select=passwordCredentials,keyCredentials","Remove expired Client secret from 'PowerShelltoTeamsGraphAPI' and rotate if integration still active","ManualApprovalRequired","Expired credentials are a hygiene issue; confirm whether integration is still in use","False","2026-06-01T01:38:38.8507378Z"
"DEC-CA-001","Conditional Access","High","65","Medium","Policy","ba681662-e32b-4e83-95c6-03ccceb73ca8","Microsoft-managed: Block device code flow","","CA policy excludes 1 user(s) and 0 group(s) from policy scope","identity/conditionalAccess/policies","/v1.0/identity/conditionalAccess/policies/{id}","Review and reduce exclusions in 'Microsoft-managed: Block device code flow'; initiate access review for excluded identities","ManualApprovalRequired","CA policy exclusions should be time-bound and reviewed quarterly","False","2026-06-01T01:39:02.8147547Z"
"DEC-CA-001","Conditional Access","High","65","Medium","Policy","fdde5940-f993-4118-b169-da9d3c7d50b2","CA005: Require multifactor authentication for guest access","","CA policy excludes 1 user(s) and 0 group(s) from policy scope","identity/conditionalAccess/policies","/v1.0/identity/conditionalAccess/policies/{id}","Review and reduce exclusions in 'CA005: Require multifactor authentication for guest access'; initiate access review for excluded identities","ManualApprovalRequired","CA policy exclusions should be time-bound and reviewed quarterly","False","2026-06-01T01:39:02.8145101Z"
"DEC-CA-001","Conditional Access","High","65","Medium","Policy","37e7dd4e-144a-4491-9211-2fd40705372d","CA902 Session Admin Persistence","","CA policy excludes 0 user(s) and 1 group(s) from policy scope","identity/conditionalAccess/policies","/v1.0/identity/conditionalAccess/policies/{id}","Review and reduce exclusions in 'CA902 Session Admin Persistence'; initiate access review for excluded identities","ManualApprovalRequired","CA policy exclusions should be time-bound and reviewed quarterly","False","2026-06-01T01:39:02.4490838Z"
"DEC-CA-001","Conditional Access","High","65","Medium","Policy","c94c8fde-dc65-448e-bb2a-b29bd94c10d4","CA901 Block usagr from outside USA","","CA policy excludes 2 user(s) and 0 group(s) from policy scope","identity/conditionalAccess/policies","/v1.0/identity/conditionalAccess/policies/{id}","Review and reduce exclusions in 'CA901 Block usagr from outside USA'; initiate access review for excluded identities","ManualApprovalRequired","CA policy exclusions should be time-bound and reviewed quarterly","False","2026-06-01T01:39:02.4487194Z"
"DEC-CA-001","Conditional Access","High","65","Medium","Policy","bedd5488-9202-46af-8cc7-690019cd0d57","CA001: Require multifactor authentication for admins","","CA policy excludes 2 user(s) and 1 group(s) from policy scope","identity/conditionalAccess/policies","/v1.0/identity/conditionalAccess/policies/{id}","Review and reduce exclusions in 'CA001: Require multifactor authentication for admins'; initiate access review for excluded identities","ManualApprovalRequired","CA policy exclusions should be time-bound and reviewed quarterly","False","2026-06-01T01:39:02.1008933Z"
"DEC-CA-001","Conditional Access","High","65","Medium","Policy","bcc81919-6f02-4593-9aa6-49e2885af912","CA006: Require multifactor authentication for Azure management","","CA policy excludes 1 user(s) and 1 group(s) from policy scope","identity/conditionalAccess/policies","/v1.0/identity/conditionalAccess/policies/{id}","Review and reduce exclusions in 'CA006: Require multifactor authentication for Azure management'; initiate access review for excluded identities","ManualApprovalRequired","CA policy exclusions should be time-bound and reviewed quarterly","False","2026-06-01T01:38:57.8937653Z"
"DEC-CA-001","Conditional Access","High","65","Medium","Policy","00ae77ad-3852-41f3-919f-fcd66f73c8d7","CA003: Block legacy authentication","","CA policy excludes 2 user(s) and 0 group(s) from policy scope","identity/conditionalAccess/policies","/v1.0/identity/conditionalAccess/policies/{id}","Review and reduce exclusions in 'CA003: Block legacy authentication'; initiate access review for excluded identities","ManualApprovalRequired","CA policy exclusions should be time-bound and reviewed quarterly","False","2026-06-01T01:38:57.8919194Z"
"DEC-CA-002","Conditional Access","High","62","Medium","Group","171b0f85-04f6-4946-97f3-5a7e6bc1987f","Exclude from CA","","CA exclusion group 'Exclude from CA' has 3 members in policy 'CA902 Session Admin Persistence' — access review status unknown","identity/conditionalAccess/policies","/v1.0/groups/{id}/members","Create access review for 'Exclude from CA'; validate all 3 members still require CA exclusion","ManualApprovalRequired","CA exclusion group members require periodic attestation","False","2026-06-01T01:39:02.8141541Z"
